date,stateCode,totalTokens,dataDay
2013-10-10,WA,249575,4
2013-10-10,WI,179538,4
2013-10-10,WV,55468,4
2013-10-10,WY,3626,4
2013-10-11,AL,224754,5
2013-10-11,AR,38421,5
2013-10-11,AZ,299426,5
2013-10-11,CA,1894966,5
2013-10-11,CO,173036,5
2013-10-11,CT,186601,5
2013-10-11,DE,16113,5
2013-10-11,FL,844343,5
2013-10-11,GA,417822,5
2013-10-11,IA,107581,5
2013-10-11,ID,30354,5
2013-10-11,IL,95213,5
2013-10-11,IN,208029,5
2013-10-11,KS,76639,5
2013-10-11,KY,65267,5
2013-10-11,LA,213262,5
2013-10-11,MA,64670,5
2013-10-11,MD,187598,5
2013-10-11,ME,31600,5
2013-10-11,MI,478708,5
2013-10-11,MN,28998,5
2013-10-11,MO,36732,5
2013-10-11,MS,37035,5
2013-10-11,MT,7147,5
2013-10-11,NC,278802,5
2013-10-11,ND,4434,5
2013-10-11,NE,22838,5
2013-10-11,NH,12620,5
2013-10-11,NJ,66551,5
2013-10-11,NM,55752,5
2013-10-11,NV,174429,5
2013-10-11,NY,300758,5
2013-10-11,OH,452077,5
2013-10-11,OK,122083,5
2013-10-11,OR,59160,5
2013-10-11,PA,391669,5
2013-10-11,SC,171669,5
2013-10-11,SD,15513,5
2013-10-11,TN,185139,5
2013-10-11,TX,1439377,5
2013-10-11,UT,94216,5
2013-10-11,VA,155043,5
2013-10-11,VT,10108,5
2013-10-11,WA,241535,5
2013-10-11,WI,171742,5
2013-10-11,WV,47393,5
2013-10-11,WY,3085,5
2013-10-12,AL,228488,6
2013-10-12,AR,42271,6
2013-10-12,AZ,288695,6
2013-10-12,CA,1896188,6
2013-10-12,CO,165158,6
2013-10-12,CT,186036,6
2013-10-12,DE,14680,6
2013-10-12,FL,851688,6
2013-10-12,GA,459329,6
2013-10-12,IA,93869,6
2013-10-12,ID,31249,6
2013-10-12,IL,101354,6
2013-10-12,IN,186943,6
2013-10-12,KS,72732,6
2013-10-12,KY,58563,6
2013-10-12,LA,232629,6
2013-10-12,MA,65051,6
2013-10-12,MD,187973,6
2013-10-12,ME,29582,6
2013-10-12,MI,532703,6
2013-10-12,MN,25935,6
2013-10-12,MO,45243,6
2013-10-12,MS,40295,6
2013-10-12,MT,7808,6
2013-10-12,NC,277884,6
2013-10-12,ND,3089,6
2013-10-12,NE,23289,6
2013-10-12,NH,14660,6
2013-10-12,NJ,63372,6
2013-10-12,NM,52285,6
2013-10-12,NV,175299,6
2013-10-12,NY,297587,6
2013-10-12,OH,464397,6
2013-10-12,OK,150505,6
2013-10-12,OR,61194,6
2013-10-12,PA,372946,6
2013-10-12,SC,191499,6
2013-10-12,SD,12938,6
2013-10-12,TN,184122,6
2013-10-12,TX,1541139,6
2013-10-12,UT,90460,6
2013-10-12,VA,156390,6
2013-10-12,VT,9968,6
2013-10-12,WA,260228,6
2013-10-12,WI,170717,6
2013-10-12,WV,40058,6
2013-10-12,WY,3271,6
2013-10-13,AL,248287,7
2013-10-13,AR,43042,7
2013-10-13,AZ,311766,7
2013-10-13,CA,1985323,7
2013-10-13,CO,173691,7
2013-10-13,CT,205352,7
2013-10-13,DE,18290,7
2013-10-13,FL,966936,7
2013-10-13,GA,467644,7
2013-10-13,IA,104679,7
2013-10-13,ID,37103,7
2013-10-13,IL,106614,7
2013-10-13,IN,201921,7
2013-10-13,KS,83328,7
2013-10-13,KY,65779,7
2013-10-13,LA,277144,7
2013-10-13,MA,74328,7
2013-10-13,MD,234309,7
2013-10-13,ME,31597,7
2013-10-13,MI,634212,7
2013-10-13,MN,30150,7
2013-10-13,MO,42969,7
2013-10-13,MS,42860,7
2013-10-13,MT,7799,7
2013-10-13,NC,317816,7
2013-10-13,ND,3446,7
2013-10-13,NE,18932,7
2013-10-13,NH,15751,7
2013-10-13,NJ,64781,7
2013-10-13,NM,62659,7
2013-10-13,NV,193484,7
2013-10-13,NY,346526,7
2013-10-13,OH,579307,7
2013-10-13,OK,138817,7
2013-10-13,OR,58403,7
2013-10-13,PA,413392,7
2013-10-13,SC,203532,7
2013-10-13,SD,16086,7
2013-10-13,TN,198646,7
2013-10-13,TX,1712557,7
2013-10-13,UT,105582,7
2013-10-13,VA,185779,7
2013-10-13,VT,10032,7
2013-10-13,WA,272048,7
2013-10-13,WI,186048,7
2013-10-13,WV,51057,7
2013-10-13,WY,2573,7
2013-10-14,AL,258539,8
2013-10-14,AR,43249,8
2013-10-14,AZ,317220,8
2013-10-14,CA,2040567,8
2013-10-14,CO,173434,8
2013-10-14,CT,212124,8
2013-10-14,DE,17828,8
2013-10-14,FL,930980,8
2013-10-14,GA,481210,8
2013-10-14,IA,114516,8
2013-10-14,ID,36518,8
2013-10-14,IL,123053,8
2013-10-14,IN,216314,8
2013-10-14,KS,81237,8
2013-10-14,KY,73032,8
2013-10-14,LA,267751,8
2013-10-14,MA,72690,8
2013-10-14,MD,208165,8
2013-10-14,ME,28985,8
2013-10-14,MI,594457,8
2013-10-14,MN,32484,8
2013-10-14,MO,49424,8
2013-10-14,MS,42429,8
2013-10-14,MT,8070,8
2013-10-14,NC,319814,8
2013-10-14,ND,4704,8
2013-10-14,NE,26268,8
2013-10-14,NH,13714,8
2013-10-14,NJ,76530,8
2013-10-14,NM,59527,8
2013-10-14,NV,189829,8
2013-10-14,NY,349689,8
2013-10-14,OH,557392,8
2013-10-14,OK,153249,8
2013-10-14,OR,63085,8
2013-10-14,PA,409348,8
2013-10-14,SC,192460,8
2013-10-14,SD,12846,8
2013-10-14,TN,184907,8
2013-10-14,TX,1737392,8
2013-10-14,UT,109415,8
2013-10-14,VA,169919,8
2013-10-14,VT,10077,8
2013-10-14,WA,265053,8
2013-10-14,WI,168170,8
2013-10-14,WV,44827,8
2013-10-14,WY,4235,8
2013-10-15,AL,276380,9
2013-10-15,AR,44857,9
2013-10-15,AZ,327818,9
2013-10-15,CA,2066693,9
2013-10-15,CO,171612,9
2013-10-15,CT,200561,9
2013-10-15,DE,16463,9
2013-10-15,FL,921705,9
2013-10-15,GA,487649,9
2013-10-15,IA,116414,9
2013-10-15,ID,33636,9
2013-10-15,IL,119988,9
2013-10-15,IN,220665,9
2013-10-15,KS,84472,9
2013-10-15,KY,72432,9
2013-10-15,LA,278792,9
2013-10-15,MA,70277,9
2013-10-15,MD,205447,9
2013-10-15,ME,31954,9
2013-10-15,MI,605475,9
2013-10-15,MN,31659,9
2013-10-15,MO,48873,9
2013-10-15,MS,41954,9
2013-10-15,MT,7673,9
2013-10-15,NC,319372,9
2013-10-15,ND,4488,9
2013-10-15,NE,23578,9
2013-10-15,NH,15883,9
2013-10-15,NJ,63180,9
2013-10-15,NM,64769,9
2013-10-15,NV,179511,9
2013-10-15,NY,342450,9
2013-10-15,OH,571668,9
2013-10-15,OK,153903,9
2013-10-15,OR,63785,9
2013-10-15,PA,398924,9
2013-10-15,SC,191682,9
2013-10-15,SD,11239,9
2013-10-15,TN,197961,9
2013-10-15,TX,1738606,9
2013-10-15,UT,97700,9
2013-10-15,VA,168098,9
2013-10-15,VT,9313,9
2013-10-15,WA,265800,9
2013-10-15,WI,176786,9
2013-10-15,WV,45125,9
2013-10-15,WY,3026,9
2013-10-16,AL,269993,10
2013-10-16,AR,44618,10
2013-10-16,AZ,334082,10
2013-10-16,CA,2059772,10
2013-10-16,CO,166768,10
2013-10-16,CT,196922,10
2013-10-16,DE,18827,10
2013-10-16,FL,929361,10
2013-10-16,GA,484990,10
2013-10-16,IA,126151,10
2013-10-16,ID,31219,10
2013-10-16,IL,120913,10
2013-10-16,IN,228287,10
2013-10-16,KS,90732,10
2013-10-16,KY,79115,10
2013-10-16,LA,268500,10
2013-10-16,MA,72905,10
2013-10-16,MD,192499,10
2013-10-16,ME,34028,10
2013-10-16,MI,626709,10
2013-10-16,MN,33135,10
2013-10-16,MO,48180,10
2013-10-16,MS,42973,10
2013-10-16,MT,7746,10
2013-10-16,NC,309293,10
2013-10-16,ND,4405,10
2013-10-16,NE,25754,10
2013-10-16,NH,18558,10
2013-10-16,NJ,65978,10
2013-10-16,NM,57353,10
2013-10-16,NV,185229,10
2013-10-16,NY,355594,10
2013-10-16,OH,560753,10
2013-10-16,OK,151149,10
2013-10-16,OR,64732,10
2013-10-16,PA,418419,10
2013-10-16,SC,189333,10
2013-10-16,SD,11436,10
2013-10-16,TN,202394,10
2013-10-16,TX,1688862,10
2013-10-16,UT,97541,10
2013-10-16,VA,162941,10
2013-10-16,VT,10950,10
