date,stateCode,total
2013-10-11,ND,4434
2013-10-11,NE,22838
2013-10-11,NH,12620
2013-10-11,NJ,66551
2013-10-11,NM,55752
2013-10-11,NV,174429
2013-10-11,NY,300758
2013-10-11,OH,452077
2013-10-11,OK,122083
2013-10-11,OR,59160
2013-10-11,PA,391669
2013-10-11,SC,171669
2013-10-11,SD,15513
2013-10-11,TN,185139
2013-10-11,TX,1439377
2013-10-11,UT,94216
2013-10-11,VA,155043
2013-10-11,VT,10108
2013-10-11,WA,241535
2013-10-11,WI,171742
2013-10-11,WV,47393
2013-10-11,WY,3085
2013-10-12,AL,228488
2013-10-12,AR,42271
2013-10-12,AZ,288695
2013-10-12,CA,1896188
2013-10-12,CO,165158
2013-10-12,CT,186036
2013-10-12,DE,14680
2013-10-12,FL,851688
2013-10-12,GA,459329
2013-10-12,IA,93869
2013-10-12,ID,31249
2013-10-12,IL,101354
2013-10-12,IN,186943
2013-10-12,KS,72732
2013-10-12,KY,58563
2013-10-12,LA,232629
2013-10-12,MA,65051
2013-10-12,MD,187973
2013-10-12,ME,29582
2013-10-12,MI,532703
2013-10-12,MN,25935
2013-10-12,MO,45243
2013-10-12,MS,40295
2013-10-12,MT,7808
2013-10-12,NC,277884
2013-10-12,ND,3089
2013-10-12,NE,23289
2013-10-12,NH,14660
2013-10-12,NJ,63372
2013-10-12,NM,52285
2013-10-12,NV,175299
2013-10-12,NY,297587
2013-10-12,OH,464397
2013-10-12,OK,150505
2013-10-12,OR,61194
2013-10-12,PA,372946
2013-10-12,SC,191499
2013-10-12,SD,12938
2013-10-12,TN,184122
2013-10-12,TX,1541139
2013-10-12,UT,90460
2013-10-12,VA,156390
2013-10-12,VT,9968
2013-10-12,WA,260228
2013-10-12,WI,170717
2013-10-12,WV,40058
2013-10-12,WY,3271
2013-10-13,AL,248287
2013-10-13,AR,43042
2013-10-13,AZ,311766
2013-10-13,CA,1985323
2013-10-13,CO,173691
2013-10-13,CT,205352
2013-10-13,DE,18290
2013-10-13,FL,966936
2013-10-13,GA,467644
2013-10-13,IA,104679
2013-10-13,ID,37103
2013-10-13,IL,106614
2013-10-13,IN,201921
2013-10-13,KS,83328
2013-10-13,KY,65779
2013-10-13,LA,277144
2013-10-13,MA,74328
2013-10-13,MD,234309
2013-10-13,ME,31597
2013-10-13,MI,634212
2013-10-13,MN,30150
2013-10-13,MO,42969
2013-10-13,MS,42860
2013-10-13,MT,7799
2013-10-13,NC,317816
2013-10-13,ND,3446
2013-10-13,NE,18932
2013-10-13,NH,15751
2013-10-13,NJ,64781
2013-10-13,NM,62659
2013-10-13,NV,193484
2013-10-13,NY,346526
2013-10-13,OH,579307
2013-10-13,OK,138817
2013-10-13,OR,58403
2013-10-13,PA,413392
2013-10-13,SC,203532
2013-10-13,SD,16086
2013-10-13,TN,198646
2013-10-13,TX,1712557
2013-10-13,UT,105582
2013-10-13,VA,185779
2013-10-13,VT,10032
2013-10-13,WA,272048
2013-10-13,WI,186048
2013-10-13,WV,51057
2013-10-13,WY,2573
2013-10-14,AL,258539
2013-10-14,AR,43249
2013-10-14,AZ,317220
2013-10-14,CA,2040567
2013-10-14,CO,173434
2013-10-14,CT,212124
2013-10-14,DE,17828
2013-10-14,FL,930980
2013-10-14,GA,481210
2013-10-14,IA,114516
2013-10-14,ID,36518
2013-10-14,IL,123053
2013-10-14,IN,216314
2013-10-14,KS,81237
2013-10-14,KY,73032
2013-10-14,LA,267751
2013-10-14,MA,72690
2013-10-14,MD,208165
2013-10-14,ME,28985
2013-10-14,MI,594457
2013-10-14,MN,32484
2013-10-14,MO,49424
2013-10-14,MS,42429
2013-10-14,MT,8070
2013-10-14,NC,319814
2013-10-14,ND,4704
2013-10-14,NE,26268
2013-10-14,NH,13714
2013-10-14,NJ,76530
2013-10-14,NM,59527
2013-10-14,NV,189829
2013-10-14,NY,349689
2013-10-14,OH,557392
2013-10-14,OK,153249
2013-10-14,OR,63085
2013-10-14,PA,409348
2013-10-14,SC,192460
2013-10-14,SD,12846
2013-10-14,TN,184907
2013-10-14,TX,1737392
2013-10-14,UT,109415
2013-10-14,VA,169919
2013-10-14,VT,10077
2013-10-14,WA,265053
2013-10-14,WI,168170
2013-10-14,WV,44827
2013-10-14,WY,4235
2013-10-15,AL,276380
2013-10-15,AR,44857
2013-10-15,AZ,327818
2013-10-15,CA,2066693
2013-10-15,CO,171612
2013-10-15,CT,200561
2013-10-15,DE,16463
2013-10-15,FL,921705
2013-10-15,GA,487649
2013-10-15,IA,116414
2013-10-15,ID,33636
2013-10-15,IL,119988
2013-10-15,IN,220665
2013-10-15,KS,84472
2013-10-15,KY,72432
2013-10-15,LA,278792
2013-10-15,MA,70277
2013-10-15,MD,205447
2013-10-15,ME,31954
2013-10-15,MI,605475
2013-10-15,MN,31659
2013-10-15,MO,48873
2013-10-15,MS,41954
2013-10-15,MT,7673
2013-10-15,NC,319372
2013-10-15,ND,4488
2013-10-15,NE,23578
2013-10-15,NH,15883
2013-10-15,NJ,63180
2013-10-15,NM,64769
2013-10-15,NV,179511
2013-10-15,NY,342450
2013-10-15,OH,571668
2013-10-15,OK,153903
2013-10-15,OR,63785
2013-10-15,PA,398924
2013-10-15,SC,191682
2013-10-15,SD,11239
2013-10-15,TN,197961
2013-10-15,TX,1738606
2013-10-15,UT,97700
2013-10-15,VA,168098
2013-10-15,VT,9313
2013-10-15,WA,265800
2013-10-15,WI,176786
2013-10-15,WV,45125
2013-10-15,WY,3026
2013-10-16,AL,269993
2013-10-16,AR,44618
2013-10-16,AZ,334082
2013-10-16,CA,2059772
2013-10-16,CO,166768
2013-10-16,CT,196922
2013-10-16,DE,18827
2013-10-16,FL,929361
2013-10-16,GA,484990
2013-10-16,IA,126151
2013-10-16,ID,31219
2013-10-16,IL,120913
2013-10-16,IN,228287
2013-10-16,KS,90732
2013-10-16,KY,79115
2013-10-16,LA,268500
2013-10-16,MA,72905
2013-10-16,MD,192499
2013-10-16,ME,34028
2013-10-16,MI,626709
2013-10-16,MN,33135
2013-10-16,MO,48180
2013-10-16,MS,42973
2013-10-16,MT,7746
2013-10-16,NC,309293
2013-10-16,ND,4405
2013-10-16,NE,25754
2013-10-16,NH,18558
2013-10-16,NJ,65978
2013-10-16,NM,57353
2013-10-16,NV,185229
2013-10-16,NY,355594
2013-10-16,OH,560753
2013-10-16,OK,151149
2013-10-16,OR,64732
2013-10-16,PA,418419
2013-10-16,SC,189333
2013-10-16,SD,11436
2013-10-16,TN,202394
2013-10-16,TX,1688862
2013-10-16,UT,97541
2013-10-16,VA,162941
2013-10-16,VT,10950
2013-10-16,WA,265525
2013-10-16,WI,180898
2013-10-16,WV,60796
2013-10-16,WY,3355
2013-10-17,AL,261734
2013-10-17,AR,44138
2013-10-17,AZ,332200
2013-10-17,CA,2023643
2013-10-17,CO,165326
2013-10-17,CT,192606
2013-10-17,DE,18154
2013-10-17,FL,919286
2013-10-17,GA,489973
2013-10-17,IA,112037
2013-10-17,ID,30445
2013-10-17,IL,113688
2013-10-17,IN,211897
2013-10-17,KS,84285
2013-10-17,KY,69252
2013-10-17,LA,258648
2013-10-17,MA,73157
2013-10-17,MD,188858
2013-10-17,ME,33709
2013-10-17,MI,612138
2013-10-17,MN,33197
