word,monthyear,stateCode,Region,cases,totalTokens,tokenProp
bae,2014-07-01,AZ,West,9242,14533361,6.359162206182039e-4
bae,2014-07-01,CA,West,68020,103814159,6.552092764147904e-4
bae,2014-07-01,CO,West,4341,8213321,5.285316378113068e-4
bae,2014-07-01,CT,Northeast,5727,8353824,6.85554304232409e-4
bae,2014-07-01,DE,South,345,583184,5.915800159126451e-4
bae,2014-07-01,FL,South,31829,46582353,6.832845047565545e-4
bae,2014-07-01,GA,South,18371,23680823,7.757754027383255e-4
bae,2014-07-01,IA,Midwest,2032,3320143,6.120218315897839e-4
bae,2014-07-01,ID,West,758,1455113,5.209217428474627e-4
bae,2014-07-01,IL,Midwest,2764,3877868,7.127627861495027e-4
bae,2014-07-01,IN,Midwest,5166,8599125,6.00758798133531e-4
bae,2014-07-01,KS,Midwest,1999,2880100,6.940731224610256e-4
bae,2014-07-01,KY,South,1286,2144961,5.995447003465331e-4
bae,2014-07-01,LA,South,10984,13547725,8.107634307605152e-4
bae,2014-07-01,MA,Northeast,1582,2685797,5.89024412492828e-4
bae,2014-07-01,MD,South,5376,8245089,6.520244960363679e-4
bae,2014-07-01,ME,Northeast,660,1556621,4.2399530778526053e-4
bae,2014-07-01,MI,Midwest,15445,23341552,6.616955033666999e-4
bae,2014-07-01,MN,Midwest,405,816672,4.959151287175267e-4
bae,2014-07-01,MO,Midwest,663,1362064,4.867612681929777e-4
bae,2014-07-01,MS,South,2138,2373903,9.00626520965684e-4
bae,2014-07-01,MT,West,88,302117,2.9127788240979486e-4
bae,2014-07-01,NC,South,8755,12848154,6.814208484736407e-4
bae,2014-07-01,ND,Midwest,70,118020,5.931198102016608e-4
bae,2014-07-01,NE,Midwest,328,659038,4.976951253190256e-4
bae,2014-07-01,NH,Northeast,236,523818,4.5053816401880044e-4
bae,2014-07-01,NJ,Northeast,2038,2715900,7.503958172244928e-4
bae,2014-07-01,NM,West,1929,2476085,7.790524154057717e-4
bae,2014-07-01,NV,West,5128,9660028,5.308473225957523e-4
bae,2014-07-01,NY,Northeast,6926,11877940,5.830977425378475e-4
bae,2014-07-01,OH,Midwest,14509,23210444,6.251065253211011e-4
bae,2014-07-01,OK,South,4480,6091292,7.354761518574385e-4
bae,2014-07-01,OR,West,1355,2399433,5.647167476649692e-4
bae,2014-07-01,PA,Northeast,7771,13433852,5.784640176175828e-4
bae,2014-07-01,SC,South,6457,8132417,7.939828958598655e-4
bae,2014-07-01,SD,Midwest,289,569342,5.076035142322189e-4
bae,2014-07-01,TN,South,4933,7644932,6.452640782154766e-4
bae,2014-07-01,TX,South,58573,79366800,7.380038000776143e-4
bae,2014-07-01,UT,West,2918,4815442,6.059672196238684e-4
bae,2014-07-01,VA,South,3546,5526336,6.41654796233888e-4
bae,2014-07-01,VT,Northeast,115,327622,3.5101427865039586e-4
bae,2014-07-01,WA,West,6178,12095350,5.107748018866754e-4
bae,2014-07-01,WI,Midwest,3868,6668655,5.800270069451786e-4
bae,2014-07-01,WV,South,611,1368874,4.4635225740279966e-4
bae,2014-07-01,WY,West,42,185333,2.2661911262430328e-4
bae,2014-08-01,AL,South,7628,8997868,8.477563796223728e-4
bae,2014-08-01,AR,South,1088,1889350,5.758594225527297e-4
bae,2014-08-01,AZ,West,8339,14563366,5.726011417964775e-4
bae,2014-08-01,CA,West,57904,97951917,5.911471850009837e-4
bae,2014-08-01,CO,West,4782,7760030,6.162347310512975e-4
bae,2014-08-01,CT,Northeast,5144,8090479,6.358090787949638e-4
bae,2014-08-01,DE,South,364,589027,6.179682764966631e-4
bae,2014-08-01,FL,South,27841,43895930,6.342501457424413e-4
bae,2014-08-01,GA,South,15376,21869092,7.030927484323537e-4
bae,2014-08-01,IA,Midwest,2023,3599520,5.62019380361826e-4
bae,2014-08-01,ID,West,766,1513137,5.062330773750163e-4
bae,2014-08-01,IL,Midwest,2662,4046177,6.579049804296747e-4
bae,2014-08-01,IN,Midwest,5010,8759914,5.719234229925089e-4
bae,2014-08-01,KS,Midwest,1869,2818557,6.631052698242399e-4
bae,2014-08-01,KY,South,1355,2231101,6.073234694440099e-4
bae,2014-08-01,LA,South,9934,12657089,7.848566127645938e-4
bae,2014-08-01,MA,Northeast,1404,2452244,5.725368274935121e-4
bae,2014-08-01,MD,South,4771,8314982,5.737835632115619e-4
bae,2014-08-01,ME,Northeast,541,1400354,3.863308849048169e-4
bae,2014-08-01,MI,Midwest,14247,23415008,6.084559099873039e-4
bae,2014-08-01,MN,Midwest,379,902082,4.2013918912027953e-4
bae,2014-08-01,MO,Midwest,713,1539753,4.630612832058129e-4
bae,2014-08-01,MS,South,1613,2109559,7.646147844170275e-4
bae,2014-08-01,MT,West,91,297790,3.055844722791229e-4
bae,2014-08-01,NC,South,8214,12708621,6.463329105494609e-4
bae,2014-08-01,ND,Midwest,88,120355,7.311702878983009e-4
bae,2014-08-01,NE,Midwest,291,704479,4.1307122000797754e-4
bae,2014-08-01,NH,Northeast,260,522991,4.971404861651539e-4
bae,2014-08-01,NJ,Northeast,1633,2586878,6.312628581633923e-4
bae,2014-08-01,NM,West,1597,2325208,6.868202758634926e-4
bae,2014-08-01,NV,West,4201,8832307,4.7564016966348654e-4
bae,2014-08-01,NY,Northeast,6952,11875949,5.853847974591335e-4
bae,2014-08-01,OH,Midwest,13237,22711497,5.828325627324346e-4
bae,2014-08-01,OK,South,3752,6062744,6.188616903501121e-4
bae,2014-08-01,OR,West,1114,2314304,4.813542213987445e-4
bae,2014-08-01,PA,Northeast,7412,13442304,5.513935706259879e-4
bae,2014-08-01,SC,South,5043,7657848,6.585401016055686e-4
bae,2014-08-01,SD,Midwest,249,568209,4.382190356013368e-4
bae,2014-08-01,TN,South,3669,7588253,4.8351049971581076e-4
bae,2014-08-01,TX,South,50388,75709807,6.655412554413195e-4
bae,2014-08-01,UT,West,2642,4751810,5.559986615626466e-4
bae,2014-08-01,VA,South,3198,5768098,5.544288602586156e-4
bae,2014-08-01,VT,Northeast,86,352180,2.441933102390823e-4
bae,2014-08-01,WA,West,5912,12098989,4.88635868666382e-4
bae,2014-08-01,WI,Midwest,3663,6309680,5.8053657237768e-4
bae,2014-08-01,WV,South,767,1723483,4.450290487344523e-4
bae,2014-08-01,WY,West,54,163232,3.308174867673005e-4
bae,2014-09-01,AL,South,6325,7777683,8.132241954319814e-4
bae,2014-09-01,AR,South,899,1522517,5.904695973838059e-4
bae,2014-09-01,AZ,West,6999,12506358,5.596353470770627e-4
bae,2014-09-01,CA,West,45936,77687474,5.912922332884707e-4
bae,2014-09-01,CO,West,3042,6151237,4.945346765211615e-4
bae,2014-09-01,CT,Northeast,3879,6184733,6.271895650143668e-4
bae,2014-09-01,DE,South,244,509132,4.7924703220382926e-4
bae,2014-09-01,FL,South,20659,33658226,6.13787547804807e-4
bae,2014-09-01,GA,South,11693,17064820,6.852108607064124e-4
bae,2014-09-01,IA,Midwest,1952,3447059,5.662798344907935e-4
bae,2014-09-01,ID,West,711,1145502,6.206885714734675e-4
bae,2014-09-01,IL,Midwest,2226,3420864,6.507128023797497e-4
bae,2014-09-01,IN,Midwest,4440,7510809,5.911480374484293e-4
bae,2014-09-01,KS,Midwest,1524,2529894,6.023967802603588e-4
bae,2014-09-01,KY,South,1208,2216181,5.45081832214968e-4
bae,2014-09-01,LA,South,7742,10049965,7.703509415206919e-4
bae,2014-09-01,MA,Northeast,1140,1955880,5.828578440395117e-4
bae,2014-09-01,MD,South,3601,6641668,5.42183078106283e-4
bae,2014-09-01,ME,Northeast,354,985292,3.592843542827913e-4
bae,2014-09-01,MI,Midwest,11263,18826383,5.982561812324758e-4
bae,2014-09-01,MN,Midwest,386,898146,4.297742237898961e-4
bae,2014-09-01,MO,Midwest,704,1581385,4.4517938389449755e-4
bae,2014-09-01,MS,South,1396,1742190,8.012903299869704e-4
bae,2014-09-01,MT,West,65,264477,2.457680630073693e-4
bae,2014-09-01,NC,South,6832,10587272,6.453031526912693e-4
bae,2014-09-01,ND,Midwest,37,104257,3.548922374516819e-4
bae,2014-09-01,NE,Midwest,296,714054,4.145344749836847e-4
bae,2014-09-01,NH,Northeast,140,396031,3.5350767995434703e-4
bae,2014-09-01,NJ,Northeast,1203,1804726,6.665831821561833e-4
bae,2014-09-01,NM,West,1055,1987449,5.308312313926042e-4
bae,2014-09-01,NV,West,3402,7014688,4.849823684246541e-4
bae,2014-09-01,NY,Northeast,6020,10552810,5.70464170206798e-4
bae,2014-09-01,OH,Midwest,11251,18888016,5.956687033725511e-4
bae,2014-09-01,OK,South,3198,5060808,6.31914903707076e-4
bae,2014-09-01,OR,West,883,1923745,4.590005432112884e-4
bae,2014-09-01,PA,Northeast,6103,11572102,5.273890603453028e-4
bae,2014-09-01,SC,South,3995,6006810,6.650784692707111e-4
bae,2014-09-01,SD,Midwest,159,400994,3.9651466106724786e-4
bae,2014-09-01,TN,South,3149,6468063,4.8685363763463653e-4
bae,2014-09-01,TX,South,39159,58458234,6.698628631169392e-4
bae,2014-09-01,UT,West,2357,3970922,5.935649201873016e-4
bae,2014-09-01,VA,South,2802,5020715,5.580878420703028e-4
bae,2014-09-01,VT,Northeast,98,318327,3.0785952809532334e-4
bae,2014-09-01,WA,West,4365,9663171,4.5171507365439356e-4
bae,2014-09-01,WI,Midwest,2774,5241182,5.29269924227016e-4
bae,2014-09-01,WV,South,727,1547985,4.696427936963213e-4
bae,2014-09-01,WY,West,43,118806,3.619345824284969e-4
bae,2014-10-01,AL,South,3059,4368681,7.002113452550094e-4
bae,2014-10-01,AR,South,447,788780,5.666979385887067e-4
bae,2014-10-01,AZ,West,3251,6781114,4.7941975315560247e-4
bae,2014-10-01,CA,West,23827,44581510,5.344592410620457e-4
