GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Urban:
VD03,Urban: - Inside urbanized areas
VD04,Urban: - Inside urban clusters
VD05,Rural
VD06,Filler
